Dataset,OPT,LRB[LRB],CombDet[LRB[LRB], Marker],SimpleGuardLRB-RT0[LRB],CombineRandom[LRB[LRB], Marker],Mark0[LRB],Rand,Marker,LRU,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-0,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-1,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-2,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-4,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-8,PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-100
astar,0.3739,0.2784,0.2569,0.2418,0.2554,0.2427,0.0838,0.0473,0.0401,0.0389,0.028,0.0252,0.0239,0.0239,0.0238
bzip,0.8081,0.6139,0.6396,0.6585,0.6132,0.6427,0.592,0.6315,0.6381,0.6363,0.6415,0.6366,0.6365,0.6358,0.6358
xalanc,0.5689,0.3764,0.4321,0.519,0.3782,0.5079,0.3834,0.4339,0.4508,0.2998,0.2855,0.2781,0.2676,0.2657,0.2662
